Domain,Status,Attractiveness,Demand,Length,Sectors,Created,Expires,Registrar
nineteen.school,available,84,8%,8,Mathematics,,,
abkhaz.school,available,82,1%,6,Geography,,,
enduring.school,available,82,9%,8,"Health and Fitness,Religion",,,
abenaki.school,available,82,2%,7,Geography,,,
abdominal.school,available,82,1%,9,"Health and Fitness,Medicine",,,
absorbent.school,available,82,3%,9,"Healthcare,Manufacturing,Retail",,,
altered.school,available,82,9%,7,"Medicine,Science",,,
dozen.school,available,82,10%,5,Mathematics,,,
cleansing.school,available,82,3%,9,Health and Fitness,,,
abroach.school,available,82,1%,7,Food and Beverage,,,
decade.school,available,82,10%,6,Mathematics,,,
fivesome.school,available,82,1%,8,Sports,,,
yard.school,expired,80,26%,4,"Construction,General",21/06/2021 07:47,21/06/2025 07:47,"Regional Network Information Center, JSC dba RU-CENTER"
capable.school,available,80,12%,7,"Business,Education,Technology",,,
wiz.school,available,80,30%,3,"Business,Education,Technology",,,
abundant.school,available,80,19%,8,"Agriculture,Manufacturing,Retail",,,
trio.school,available,80,21%,4,Entertainment,,,
nine.school,available,80,24%,4,"General,Mathematics",,,
twenty.school,available,80,12%,6,Mathematics,,,
dorsal.school,available,80,6%,6,"Medicine,Science",,,
sequent.school,available,80,7%,7,"Healthcare,Insurance,Transportation",,,
worshipful.school,available,80,1%,10,"Education,Healthcare,Religion",,,
seventh.school,available,80,10%,7,Mathematics,,,
absolute.school,available,80,25%,8,"Engineering,Mathematics,Science",,,
adoptable.school,available,80,3%,9,"Education,Healthcare",,,
forty.school,available,80,9%,5,Mathematics,,,
absurd.school,available,80,16%,6,"Arts,Entertainment,Media",,,
absorbable.school,available,80,0%,10,"Healthcare,Pharmaceuticals,Science",,,
able.school,resell,80,29%,4,"Business,Education,General,Technology",21/10/2024 19:49,21/10/2025 19:49,"Sav.com, LLC"
two.school,available,80,24%,3,Mathematics,,,
abounding.school,available,78,2%,9,Agriculture,,,
adjacent.school,available,78,9%,8,"Construction,Real Estate,Retail",,,
accidental.school,available,78,11%,10,"Healthcare,Insurance,Transportation",,,
dormant.school,available,78,4%,7,"Medicine,Science",,,
abkhazian.school,available,78,1%,9,Geography,,,
acceptable.school,available,78,5%,10,"Business,Hospitality,Retail",,,
adorable.school,available,78,8%,8,"Entertainment,Fashion,Retail",,,
acceptant.school,available,78,1%,9,"Education,Healthcare",,,
recognized.school,available,78,3%,10,"Business,Education,Technology",,,
honestly.school,available,78,9%,8,"Business,Law",,,
recognised.school,available,78,3%,10,"Business,Education,Technology",,,
athletic.school,available,78,15%,8,"Health and Fitness,Sports",,,
accurate.school,available,78,16%,8,"Engineering,Mathematics,Science",,,
twentysix.school,available,78,8%,10,Mathematics,,,
abkhasian.school,available,78,1%,9,Geography,,,
absorptive.school,available,78,1%,10,"Healthcare,Manufacturing,Retail",,,
accessible.school,available,78,21%,10,"Healthcare,Retail,Technology",,,
sixtynine.school,available,78,8%,10,Mathematics,,,
adrenal.school,available,78,4%,7,"Education,Healthcare,Science",,,
obscene.school,available,76,5%,7,"Entertainment,Media",,,
addable.school,available,76,2%,7,"Engineering,Mathematics,Science",,,
ague.school,available,76,2%,4,"Geography,Medicine,Science",,,
abrasive.school,available,76,6%,8,"Construction,Manufacturing",,,
fourteenth.school,available,76,1%,10,Mathematics,,,
acoustic.school,available,76,14%,8,Science,,,
adhesive.school,available,76,7%,8,"Construction,Manufacturing,Technology",,,
ventral.school,available,76,3%,7,Science,,,
ancillary.school,available,76,6%,9,"Healthcare,Manufacturing,Technology",,,
improvise.school,available,76,4%,9,Entertainment,,,
thousandth.school,available,76,1%,10,Mathematics,,,
adipose.school,available,76,2%,7,"Healthcare,Science",,,
thirteenth.school,available,76,4%,10,Mathematics,,,
hundredth.school,available,76,1%,9,Mathematics,,,
energizing.school,available,76,3%,10,"Food and Beverage,Health and Fitness,Travel",,,
auxiliary.school,available,76,7%,9,"Healthcare,Manufacturing,Technology",,,
adherent.school,available,76,4%,8,"Politics,Religion",,,
nineteenth.school,available,76,3%,10,Mathematics,,,
diamond.school,available,76,32%,7,Fashion,,,
incidental.school,available,76,4%,10,"Healthcare,Insurance,Transportation",,,
adaptable.school,available,76,9%,9,"Business,Education,Technology",,,
fifteenth.school,available,76,2%,9,Mathematics,,,
threed.school,available,76,7%,7,Technology,,,
firstrate.school,available,76,6%,10,Business,,,
resultant.school,available,76,2%,9,"Healthcare,Insurance,Transportation",,,
eighteen.school,available,76,7%,8,Mathematics,,,
admirable.school,available,74,5%,9,"Business,Education,Healthcare",,,
accepting.school,available,74,3%,9,"Education,Healthcare",,,
activated.school,available,74,9%,9,"Healthcare,Manufacturing,Technology",,,
sensation.school,available,74,7%,9,"Entertainment,Media,Sports",,,
adenoid.school,available,74,1%,7,"Health and Fitness,Medicine,Science",,,
achievable.school,available,74,4%,10,"Business,Education,Technology",,,
skilful.school,available,74,3%,7,"Education,Health and Fitness,Sports",,,
realizable.school,available,74,1%,10,"Business,Education,Technology",,,
mavin.school,available,74,7%,5,"Entertainment,Fashion,Technology",,,
adapted.school,available,74,6%,7,"Healthcare,Manufacturing,Technology",,,
playing.school,resell,74,12%,7,Entertainment,03/06/2023 15:15,03/06/2026 15:15,"Chengdu West Dimension Digital Technology Co., Ltd."
supra.school,available,74,25%,5,"Medicine,Science",,,
acuate.school,available,74,2%,6,"Engineering,Medicine,Science",,,
broad.school,available,74,13%,5,"Entertainment,General,Media",,,
adamant.school,available,74,14%,7,Religion,,,
cleared.school,available,74,7%,7,"Healthcare,Law,Transportation",,,
manageable.school,available,74,4%,10,"Business,Education,Technology",,,
aberrant.school,available,74,6%,8,"Medicine,Science",,,
adrenergic.school,available,74,1%,10,"Education,Healthcare,Science",,,
engrossed.school,available,72,1%,9,"Entertainment,Media,Technology",,,
adonic.school,available,72,2%,6,"Arts,Education,Entertainment",,,
abloom.school,available,72,5%,6,Agriculture,,,
adiabatic.school,available,72,3%,9,"Engineering,Science",,,
addicted.school,available,72,9%,8,Healthcare,,,
trey.school,available,72,14%,4,Sports,,,
sixtieth.school,available,72,1%,8,Mathematics,,,
liv.school,available,72,27%,3,Mathematics,,,
trinity.school,available,72,18%,7,Religion,,,
ternary.school,resell,72,7%,7,Mathematics,12/08/2024 09:03,12/08/2026 09:03,"Sav.com, LLC"
adaptative.school,available,72,1%,10,"Business,Education,Technology",,,
abreast.school,available,72,2%,7,"Business,Technology",,,
accustomed.school,available,72,1%,10,"Business,Education,Humanities",,,
adjectival.school,available,72,1%,10,Education,,,
improvize.school,available,72,1%,9,Entertainment,,,
ablaze.school,available,72,6%,6,Entertainment,,,
aching.school,available,72,4%,6,Healthcare,,,
absolutist.school,available,72,1%,10,"Humanities,Law,Politics",,,
adjunctive.school,available,72,1%,10,"Healthcare,Manufacturing,Technology",,,
existent.school,available,72,3%,8,"Mathematics,Science",,,
absorbed.school,available,72,2%,8,"Entertainment,Media,Technology",,,
ninetieth.school,available,72,1%,9,Mathematics,,,
eightieth.school,available,72,1%,9,Mathematics,,,
accusative.school,available,72,0%,10,"Humanities,Law",,,
seventieth.school,available,72,1%,10,Mathematics,,,
tiptop.school,available,70,24%,6,Fashion,,,
abradant.school,available,70,1%,8,"Construction,Manufacturing",,,
lowdown.school,available,70,6%,8,"Entertainment,Media",,,
adamantine.school,available,70,4%,10,Religion,,,
accumbent.school,available,70,1%,9,"Healthcare,Medicine,Science",,,
adored.school,available,70,6%,6,"Entertainment,Fashion,Retail",,,
abulic.school,available,70,1%,6,Medicine,,,
recumbent.school,available,70,2%,9,"Healthcare,Medicine,Science",,,
consequent.school,available,70,3%,10,"Business,Education,General,Technology",,,
skillful.school,available,70,9%,8,"Education,Health and Fitness,Sports",,,
admired.school,available,70,5%,7,"Business,Education,Healthcare",,,
stillborn.school,available,70,2%,9,"Medicine,Science",,,
adjusted.school,available,70,5%,8,"Manufacturing,Retail,Technology",,,
gymnastic.school,available,70,3%,9,"Entertainment,Sports",,,
offhand.school,available,70,2%,7,Entertainment,,,
miserable.school,available,70,4%,9,Humanities,,,
practiced.school,available,70,3%,9,"Education,Health and Fitness,Sports",,,
absorbing.school,available,70,3%,9,"Entertainment,Media,Technology",,,
acuminate.school,available,70,1%,9,"Engineering,Medicine,Science",,,
thirtieth.school,available,68,1%,9,Mathematics,,,
stygian.school,available,68,5%,7,Humanities,,,
achaian.school,available,68,2%,7,Humanities,,,
threesome.school,available,68,5%,9,Entertainment,,,
abkhas.school,available,68,0%,6,Geography,,,
ennead.school,available,68,5%,6,Mathematics,,,
aculeate.school,available,68,1%,8,"Engineering,Medicine,Science",,,
septenary.school,available,68,1%,9,Mathematics,,,
octonary.school,available,68,1%,8,Mathematics,,,
achaean.school,available,68,2%,7,Humanities,,,
accredited.school,available,68,9%,10,"Business,Education,Healthcare",,,
fortieth.school,available,68,0%,8,Mathematics,,,
aroused.school,available,68,3%,7,"Entertainment,Health and Fitness",,,
licenced.school,available,68,2%,8,"Business,Healthcare,Insurance",,,
licensed.school,available,68,5%,8,"Business,Healthcare,Insurance",,,
aberdonian.school,available,68,1%,10,Geography,,,
fiftieth.school,available,68,0%,8,Mathematics,,,
abnaki.school,available,68,1%,6,Geography,,,
sevener.school,available,68,1%,7,Mathematics,,,
vindicated.school,available,68,2%,10,"Humanities,Law,Politics",,,
ane.school,available,68,12%,3,Mathematics,,,
abducent.school,available,68,0%,8,Medicine,,,
overseas.school,available,68,12%,8,"Hospitality,Travel",,,
activating.school,available,68,3%,10,"Healthcare,Manufacturing,Technology",,,
foursome.school,available,68,4%,8,Sports,,,
scurvy.school,available,68,3%,6,Humanities,,,
acerate.school,available,68,1%,7,Science,,,
ablative.school,available,68,3%,8,Science,,,
decorated.school,available,68,3%,9,"Entertainment,Fashion,Retail",,,
ninety.school,available,66,11%,6,Mathematics,,,
xxi.school,available,66,10%,3,Mathematics,,,
xvii.school,available,66,5%,4,Mathematics,,,
xii.school,available,66,10%,3,Mathematics,,,
accessary.school,available,66,1%,9,"Business,Law,Technology",,,
xxv.school,available,66,6%,3,Mathematics,,,
maven.school,resell,66,30%,5,"Entertainment,Fashion,Technology",27/02/2025 15:15,27/02/2026 15:15,"Sav.com, LLC - 33"
xxvi.school,available,66,3%,4,Mathematics,,,
clv.school,available,66,10%,3,Mathematics,,,
acrobatic.school,available,66,4%,9,"Entertainment,Sports",,,
abstinent.school,available,66,1%,9,"Health and Fitness,Religion",,,
latest.school,available,66,18%,6,Technology,,,
five.school,expiring,66,26%,4,Mathematics,31/08/2017 03:33,31/08/2025 03:33,Registrar of Domain Names REG.RU LLC
according.school,available,66,3%,9,"Business,Education,Technology",,,
six.school,available,66,26%,3,Mathematics,,,
four.school,available,66,27%,4,Mathematics,,,
xvi.school,available,66,5%,3,Mathematics,,,
onec.school,available,66,6%,5,Mathematics,,,
teenager.school,available,66,4%,8,"Education,Entertainment,Healthcare",,,
acervate.school,available,66,1%,8,Science,,,
xxii.school,available,66,6%,4,Mathematics,,,
performing.school,available,66,6%,10,Entertainment,,,
xviii.school,available,66,5%,5,Mathematics,,,
xiii.school,available,66,9%,4,Mathematics,,,
adorned.school,available,66,5%,7,"Entertainment,Fashion,Retail",,,
sextet.school,available,66,1%,6,Entertainment,,,
adopted.school,available,66,4%,7,"Education,Healthcare",,,
modish.school,available,66,5%,6,Fashion,,,
acappella.school,available,66,6%,10,Entertainment,,,
deuce.school,available,66,9%,5,Sports,,,
buzzing.school,available,66,7%,7,"Entertainment,Media,Technology",,,
tenner.school,available,66,5%,6,Finance,,,
eighty.school,available,66,6%,6,Mathematics,,,
thirty.school,available,66,8%,6,Mathematics,,,
fifty.school,available,66,12%,5,Mathematics,,,
exonerated.school,available,66,2%,10,"Humanities,Law,Politics",,,
astringent.school,available,64,1%,10,"Healthcare,Pharmaceuticals",,,
aflame.school,available,64,3%,6,Entertainment,,,
acentric.school,available,64,2%,8,Science,,,
nondrinker.school,available,64,1%,10,"Health and Fitness,Religion",,,
rising.school,available,64,18%,6,"Construction,Manufacturing,Real Estate",,,
absolved.school,available,64,1%,8,"Humanities,Law,Religion",,,
accordant.school,available,64,3%,9,"Arts,Entertainment",,,
scatty.school,available,64,1%,6,"Arts,Entertainment,Media",,,
nail.school,resell,62,16%,4,"Construction,Fashion,General,Retail",03/06/2015 16:00,03/06/2026 16:00,Dynadot Inc
exculpated.school,available,62,1%,10,"Humanities,Law,Politics",,,
pungent.school,available,62,1%,7,Food and Beverage,,,
accrued.school,available,62,2%,7,"Banking,Finance,Insurance",,,
adjuvant.school,available,62,5%,8,"Healthcare,Manufacturing,Technology",,,
abo.school,available,62,15%,3,Science,,,
roughly.school,available,62,3%,7,"Business,Media,Technology",,,
ensuant.school,available,62,1%,7,"Healthcare,Insurance,Transportation",,,
activistic.school,available,62,1%,10,"Humanities,Politics",,,
accusing.school,available,62,1%,8,Law,,,
chiliad.school,available,62,2%,7,Mathematics,,,
twodozen.school,available,62,1%,9,Mathematics,,,
fortyfour.school,available,62,6%,10,Mathematics,,,
longdozen.school,available,62,2%,10,Mathematics,,,
sixteenth.school,available,62,1%,9,Mathematics,,,
aufait.school,available,62,3%,7,"Fashion,Media",,,
quartet.school,available,62,7%,7,"Arts,Entertainment",,,
activation.school,available,62,16%,10,"Healthcare,Manufacturing,Technology",,,
admissible.school,available,62,1%,10,"Education,Healthcare,Law",,,
orso.school,available,62,9%,5,"Business,Media,Technology",,,
acidic.school,available,62,5%,6,"Food and Beverage,Science",,,
cumulative.school,available,62,2%,10,"Banking,Finance,Insurance",,,
playacting.school,available,62,1%,10,Entertainment,,,
troika.school,available,62,8%,6,Politics,,,
aborigine.school,available,62,1%,9,Humanities,,,
adoptive.school,available,62,1%,8,"Education,Healthcare",,,
eleventh.school,available,62,5%,8,Mathematics,,,
eighteenth.school,available,62,1%,10,Mathematics,,,
paunchy.school,available,60,0%,7,"Health and Fitness,Medicine",,,
acceptive.school,available,60,1%,9,"Education,Healthcare",,,
tertiary.school,available,60,4%,8,Education,,,
cxlv.school,available,60,2%,4,Mathematics,,,
annexal.school,available,60,1%,7,"Agriculture,Manufacturing,Retail",,,
clxxx.school,available,60,1%,5,Mathematics,,,
cxxv.school,available,60,1%,4,Mathematics,,,
cxx.school,available,60,10%,3,Mathematics,,,
sixty.school,available,60,13%,5,Mathematics,,,
thou.school,available,60,7%,4,Mathematics,,,
idolized.school,available,60,3%,8,"Entertainment,Fashion,Retail",,,
cxxx.school,available,60,4%,4,Mathematics,,,
abstemious.school,available,60,0%,10,"Food and Beverage,Health and Fitness,Hospitality",,,
clx.school,available,60,10%,3,Mathematics,,,
cxl.school,available,60,7%,3,Mathematics,,,
abstainer.school,available,60,0%,9,"Health and Fitness,Religion",,,
octet.school,available,60,12%,5,Arts,,,
idolised.school,available,60,1%,8,"Entertainment,Fashion,Retail",,,
cxv.school,available,60,4%,3,Mathematics,,,
clxv.school,available,60,1%,4,Mathematics,,,
eightysix.school,available,60,7%,10,Mathematics,,,
adnexal.school,available,60,1%,7,"Agriculture,Manufacturing,Retail",,,
aboveboard.school,available,60,5%,10,"Business,Law",,,
adnate.school,available,60,1%,6,"Agriculture,Manufacturing,Retail",,,
cautionary.school,available,60,1%,10,"Business,Education,Healthcare",,,
abashed.school,available,60,1%,7,Humanities,,,
xcl.school,available,60,5%,3,Mathematics,,,
cxxxv.school,available,60,2%,5,Mathematics,,,
clxxv.school,available,60,1%,5,Mathematics,,,
clxx.school,available,60,3%,4,Mathematics,,,
tercet.school,available,59,2%,6,"Arts,Entertainment,Media",,,
accoutred.school,available,58,1%,9,"Fashion,Manufacturing,Retail",,,
abuzz.school,available,58,5%,5,"Entertainment,Media,Technology",,,
quintet.school,available,58,8%,7,"Arts,Entertainment",,,
sixer.school,available,58,5%,5,Sports,,,
octad.school,available,58,5%,5,Mathematics,,,
lxxviii.school,available,58,1%,7,Mathematics,,,
heptad.school,available,58,1%,6,Mathematics,,,
actuarial.school,available,58,8%,9,"Finance,Insurance,Mathematics",,,
adjustive.school,available,58,1%,9,"Manufacturing,Retail,Technology",,,
alacarte.school,available,58,11%,10,Food and Beverage,,,
twelfth.school,available,58,2%,7,Mathematics,,,
offhanded.school,available,58,1%,9,Entertainment,,,
adient.school,available,58,4%,6,"Medicine,Science",,,
addressed.school,available,58,3%,9,"Business,Technology,Telecommunications",,,
closeto.school,available,58,3%,8,"Business,Media,Technology",,,
abandoned.school,available,58,10%,9,"Construction,Real Estate",,,
adhoc.school,available,58,24%,6,"Business,Engineering,Technology",,,
hexad.school,available,58,4%,5,Mathematics,,,
tetrad.school,available,58,5%,6,Mathematics,,,
centesimal.school,available,58,1%,10,Mathematics,,,
justabout.school,available,58,3%,10,"Business,Media,Technology",,,
accretive.school,available,58,6%,9,"Banking,Finance,Insurance",,,
fourth.school,available,58,13%,6,Mathematics,,,
acetic.school,available,58,1%,6,"Food and Beverage,Science",,,
abused.school,available,58,5%,6,"Healthcare,Law",,,
addible.school,available,58,2%,7,"Engineering,Mathematics,Science",,,
eighter.school,available,58,2%,7,Mathematics,,,
aucourant.school,available,58,3%,10,"Fashion,Media",,,
fourscore.school,available,58,4%,9,Mathematics,,,
sextuplet.school,available,58,1%,9,Healthcare,,,
sixtyone.school,available,58,3%,9,Mathematics,,,
niner.school,available,58,5%,5,Mathematics,,,
lxxx.school,available,58,2%,4,Mathematics,,,
seventy.school,available,58,7%,7,Mathematics,,,
abridged.school,available,58,4%,8,Media,,,
accented.school,available,58,3%,8,"Arts,Entertainment",,,
ache.school,available,58,7%,4,Healthcare,,,
fifth.school,available,58,12%,5,Mathematics,,,
enwrapped.school,available,58,0%,9,"Entertainment,Fashion,Media",,,
pentad.school,available,58,2%,6,Mathematics,,,
acyclic.school,available,58,4%,7,"Engineering,Mathematics,Science",,,
linear.school,available,58,22%,6,"Engineering,Mathematics,Science",,,
terzetto.school,available,56,3%,8,Arts,,,
fiftytwo.school,available,56,6%,9,Mathematics,,,
aone.school,available,56,15%,5,Food and Beverage,,,
lii.school,available,56,7%,3,Mathematics,,,
fiftysix.school,available,56,4%,9,Mathematics,,,
xliv.school,available,56,2%,4,Mathematics,,,
xlvii.school,available,56,2%,5,Mathematics,,,
potbellied.school,available,56,0%,10,"Health and Fitness,Medicine",,,
xli.school,available,56,5%,3,Mathematics,,,
admittable.school,available,56,1%,10,"Education,Healthcare,Hospitality",,,
xxxv.school,available,56,4%,4,Mathematics,,,
fortynine.school,available,56,3%,10,Mathematics,,,
fiftyone.school,available,56,7%,9,Mathematics,,,
xxxvii.school,available,56,2%,6,Mathematics,,,
xxxviii.school,available,56,1%,7,Mathematics,,,
xxix.school,available,56,4%,4,Mathematics,,,
appressed.school,available,56,0%,9,"Agriculture,Manufacturing,Retail",,,
ilx.school,available,56,5%,3,Mathematics,,,
addled.school,available,56,2%,6,Entertainment,,,
xlvi.school,available,56,3%,4,Mathematics,,,
lviii.school,available,56,1%,5,Mathematics,,,
fiftyfive.school,available,56,7%,10,Mathematics,,,
xxxii.school,available,56,1%,5,Mathematics,,,
abdominous.school,available,56,0%,10,"Health and Fitness,Medicine",,,
thirtysix.school,available,56,5%,10,Mathematics,,,
triad.school,available,56,15%,5,Arts,,,
xxiv.school,available,56,5%,4,Mathematics,,,
xlii.school,available,56,5%,4,Mathematics,,,
xxxiv.school,available,56,1%,5,Mathematics,,,
xlv.school,available,56,6%,3,Mathematics,,,
xliii.school,available,56,1%,5,Mathematics,,,
fortytwo.school,available,56,17%,9,Mathematics,,,
xxxvi.school,available,56,1%,5,Mathematics,,,
halfdozen.school,available,56,1%,10,Mathematics,,,
xxxi.school,available,56,9%,4,Mathematics,,,
thirtytwo.school,available,56,5%,10,Mathematics,,,
fiftynine.school,available,56,4%,10,Mathematics,,,
xxxiii.school,available,56,2%,6,Mathematics,,,
accoutered.school,available,56,0%,10,"Fashion,Manufacturing,Retail",,,
xlviii.school,available,56,1%,6,Mathematics,,,
xxviii.school,available,56,1%,6,Mathematics,,,
lvi.school,available,56,8%,3,Mathematics,,,
admittible.school,available,56,1%,10,"Education,Healthcare,Hospitality",,,
fortyone.school,available,56,4%,9,Mathematics,,,
fiftyfour.school,available,56,3%,10,Mathematics,,,
maledict.school,available,56,1%,8,Religion,,,
fortysix.school,available,56,3%,9,Mathematics,,,
liii.school,available,56,4%,4,Mathematics,,,
thirtyone.school,available,56,5%,10,Mathematics,,,
abeyant.school,available,56,1%,7,"Business,Law",,,
xxvii.school,available,56,3%,5,Mathematics,,,
admissive.school,available,56,1%,9,"Education,Healthcare,Hospitality",,,
lvii.school,available,56,1%,4,Mathematics,,,
quaternity.school,available,54,4%,10,Mathematics,,,
abaxial.school,available,54,1%,7,Science,,,
abient.school,available,54,1%,6,Science,,,
deuceace.school,available,54,2%,9,Sports,,,
threescore.school,available,54,1%,10,Mathematics,,,
quaternion.school,available,54,6%,10,Mathematics,,,
achy.school,available,54,3%,4,Healthcare,,,
vii.school,available,54,13%,3,Mathematics,,,
ternion.school,available,54,3%,7,Mathematics,,,
iii.school,available,54,24%,3,Mathematics,,,
viii.school,available,54,6%,4,Mathematics,,,
quatern.school,available,54,2%,7,Mathematics,,,
deserted.school,available,54,3%,8,"Hospitality,Real Estate",,,
aboral.school,available,54,2%,6,Science,,,
adaxial.school,available,54,2%,7,Science,,,
adductive.school,available,54,0%,9,"Engineering,Mathematics,Science",,,
abasic.school,available,54,1%,6,Science,,,
abatic.school,available,54,1%,6,Science,,,
topnotch.school,available,54,18%,8,Business,,,
acoustical.school,available,54,4%,10,Science,,,
quintuplet.school,available,54,1%,10,"Healthcare,Medicine,Science",,,
scratchy.school,available,54,3%,8,Fashion,,,
sise.school,available,54,5%,4,Mathematics,,,
twoscore.school,available,54,2%,8,Mathematics,,,
monitory.school,available,54,3%,8,"Business,Education,Healthcare",,,
quadruplet.school,available,54,1%,10,"Healthcare,Medicine,Science",,,
abhorrent.school,available,54,1%,9,Humanities,,,
fortyfive.school,available,54,4%,10,Mathematics,,,
abducens.school,available,54,1%,8,Medicine,,,
abatable.school,available,54,1%,8,Law,,,
accursed.school,available,54,3%,8,"Entertainment,Media,Religion",,,
adducting.school,available,54,1%,9,"Engineering,Mathematics,Science",,,
actuated.school,available,54,2%,8,"Automotive,Manufacturing,Technology",,,
admonitory.school,available,54,0%,10,"Business,Education,Healthcare",,,
achromatic.school,available,54,4%,10,Science,,,
unnatural.school,available,54,4%,9,"Medicine,Science",,,
